week_start,Lethbridge,MedicineHat,Calgary,Red_Deer,Fort_Mcmurray,Grande_Prairie,Edmonton,Fort_Saskatchewan
2025-08-24,0.00998411,0.009771995,0.002505149,0.002780345,0.01982635,0.01739708,0.002868203,0.006505302
2025-08-31,0.02275119,0.01590344,0.002566129,0.008219935,0.06780934,0.0419914,0.001920457,0.003965672
2025-09-07,0.00998411,0.0211762,0.001150467,0.01494713,0.04581065,0.02085072,0.0025945,0.008805997
2025-09-14,0.007173799,0.06154157,0.001426944,0.007962907,0.04397942,0.008241062,0.002441082,0.003138589
2025-09-21,0.01865188,0.04231693,0.002593834,0.01334565,0.0887069,0.007570952,0.002103833,0.006392862
2025-09-28,0.007893456,0.03181398,0.001717988,0.01713928,0.03137626,0.01510969,0.00345192,0.004680315
2025-10-05,0.007893456,0.00868218,0.00132694,0.007330224,0.03514643,0.02166259,0.002822813,0.003212108
2025-10-12,0.0206651,0.02190175,0.00140438,0.005306133,0.0243745,0.02690749,0.001339917,0.002803432
2025-10-19,0.01718068,0.02024655,0.002155554,0.004537523,0.02135836,0.05355724,0.002982586,0.002204473
2025-10-26,0.006030546,0.01373189,0.001471786,0.005538447,0.01917405,0.02821549,0.004861284,0.002257449
2025-11-02,0.008344381,0.03985441,0.001180171,0.006830998,0.02073598,0.01476175,0.001434328,0.001844448
2025-11-09,0.01244369,0.02143168,0.002535996,0.01028851,0.007300979,0.03514855,0.003078359,0.005561455
,,,,,,,,
