Location,site,city,province,country,EpiYear,EpiWeek,weekstart,measureid,w_avg,min,max,populationcoverage,pruid
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,26,2025-06-22,covN2,14.17381709,14.17381709,28.56901172,,48
Calgary,,Calgary,Alberta,Canada,2025,26,2025-06-22,covN2,47.97040581,41.83407885,47.97040581,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,27,2025-06-29,covN2,21.58472486,21.58472486,39.64883048,,48
Calgary Fish Creek,Calgary Fish Creek,Calgary,Alberta,Canada,2025,27,2025-06-29,covN2,21.59623839,21.59623839,169.6219013,,48
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,27,2025-06-29,covN2,13.45052112,13.45052112,63.00339688,,48
Calgary,,Calgary,Alberta,Canada,2025,27,2025-06-29,covN2,19.92885093,19.92885093,54.24915488,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,28,2025-07-06,covN2,23.44726803,23.44726803,94.01630937,,48
Calgary Fish Creek,Calgary Fish Creek,Calgary,Alberta,Canada,2025,28,2025-07-06,covN2,10.24347078,10.24347078,77.07790303,,48
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,28,2025-07-06,covN2,11.34584621,11.34584621,99.25841053,,48
Calgary,,Calgary,Alberta,Canada,2025,28,2025-07-06,covN2,19.98249967,19.98249967,93.80116685,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,29,2025-07-13,covN2,35.40467999,35.40467999,84.27974973,,48
Calgary Fish Creek,Calgary Fish Creek,Calgary,Alberta,Canada,2025,29,2025-07-13,covN2,11.15425338,11.15425338,100.9087745,,48
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,29,2025-07-13,covN2,25.28559601,25.28559601,44.64500486,,48
Calgary,,Calgary,Alberta,Canada,2025,29,2025-07-13,covN2,30.07414401,30.07414401,77.46648886,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,30,2025-07-20,covN2,17.96658269,17.96658269,59.44639436,,48
Calgary Fish Creek,Calgary Fish Creek,Calgary,Alberta,Canada,2025,30,2025-07-20,covN2,10.61740361,10.61740361,103.6397439,,48
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,30,2025-07-20,covN2,7.539481193,7.539481193,109.0034076,,48
Calgary,,Calgary,Alberta,Canada,2025,30,2025-07-20,covN2,15.28623522,15.28623522,72.88698824,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,31,2025-07-27,covN2,66.66089577,66.66089577,93.72132455,,48
Calgary Fish Creek,Calgary Fish Creek,Calgary,Alberta,Canada,2025,31,2025-07-27,covN2,50.44472269,50.44472269,87.19529214,,48
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,31,2025-07-27,covN2,29.58623328,29.58623328,50.61320439,,48
Calgary,,Calgary,Alberta,Canada,2025,31,2025-07-27,covN2,57.88152273,57.88152273,84.4469638,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,32,2025-08-03,covN2,11.81292937,11.81292937,100.0481021,,48
Calgary Fish Creek,Calgary Fish Creek,Calgary,Alberta,Canada,2025,32,2025-08-03,covN2,9.901990397,9.901990397,24.9689105,,48
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,32,2025-08-03,covN2,39.56345649,33.16806897,39.56345649,,48
Calgary,,Calgary,Alberta,Canada,2025,32,2025-08-03,covN2,17.32033327,17.32033327,80.74006836,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,33,2025-08-10,covN2,59.23865747,59.23865747,62.372071,,48
Calgary Fish Creek,Calgary Fish Creek,Calgary,Alberta,Canada,2025,33,2025-08-10,covN2,17.44554325,15.1532436,17.44554325,,48
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,33,2025-08-10,covN2,25.84619726,25.84619726,28.29507336,,48
Calgary,,Calgary,Alberta,Canada,2025,33,2025-08-10,covN2,49.27218524,49.27218524,51.85525661,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,34,2025-08-17,covN2,82.57881262,48.2817652,82.57881262,,48
Calgary Fish Creek,Calgary Fish Creek,Calgary,Alberta,Canada,2025,34,2025-08-17,covN2,37.79946308,24.4758399,37.79946308,,48
Calgary Pine Creek,Calgary Pine Creek,Calgary,Alberta,Canada,2025,34,2025-08-17,covN2,24.31740767,24.31740767,42.33016005,,48
Calgary,,Calgary,Alberta,Canada,2025,34,2025-08-17,covN2,73.71099973,45.26661452,73.71099973,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,35,2025-08-24,covN2,26.49365214,26.49365214,67.79264888,,48
Calgary,,Calgary,Alberta,Canada,2025,35,2025-08-24,covN2,26.49365214,26.49365214,58.57218031,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,36,2025-08-31,covN2,19.57300212,19.57300212,70.73149896,,48
Calgary,,Calgary,Alberta,Canada,2025,36,2025-08-31,covN2,19.57300212,19.57300212,65.27156637,0.720588235,48
Calgary Bonnybrook,Calgary Bonnybrook,Calgary,Alberta,Canada,2025,37,2025-09-07,covN2,26.57059951,26.57059951,94.97135818,,48
Calgary,,Calgary,Alberta,Canada,2025,37,2025-09-07,covN2,26.57059951,26.57059951,82.54380291,0.720588235,48
